Simulation_ID-0_NAME-TEST
Particle Count: 4
1.0,0.0,0.0_0.0,0.0,0.0_1836.15_1_false;-1.0,0.0,0.0_0.0,0.0,0.0_1836.15_1_false;2.0,0.0,0.0_0.0,0.065,0.0_1.0_-1_false;-2.0,0.0,0.0_0.0,0.065,0.0_1.0_-1_false;
1.000745527857535,4.336517604375783E-4,0.0_4.799119064737895E-5,5.603917591430657E-5,0.0_1836.15_1_false;-1.000745527857535,4.336517604375782E-4,0.0_-4.799119064737895E-5,5.603917591430654E-5,0.0_1836.15_1_false;0.7494051858113232,0.69875032007254,0.0_-0.07799750517143433,-0.037896332855054046,0.0_1.0_-1_false;-0.7494051858113232,0.6987503200725408,0.0_0.07799750517143435,-0.03789633285505396,0.0_1.0_-1_false;
1.0007918122762283,4.946267472229972E-4,0.0_4.6284418693180935E-5,6.097498678541894E-5,0.0_1836.15_1_false;-1.0007918122762283,4.946267472229971E-4,0.0_-4.628441869318094E-5,6.09749867854189E-5,0.0_1836.15_1_false;0.6753996307352238,0.6517910980864929,0.0_-0.0740055550760994,-0.046959221986047024,0.0_1.0_-1_false;-0.6753996307352238,0.6517910980864938,0.0_0.07400555507609942,-0.04695922198604693,0.0_1.0_-1_false;
1.0008356954857904,5.605023340904474E-4,0.0_4.3883209562140596E-5,6.58755868674502E-5,0.0_1836.15_1_false;-1.0008356954857904,5.605023340904472E-4,0.0_-4.388320956214061E-5,6.587558686745016E-5,0.0_1836.15_1_false;0.6069089260981756,0.5958336392598242,0.0_-0.06849070463704825,-0.05595745882666872,0.0_1.0_-1_false;-0.6069089260981755,0.5958336392598252,0.0_0.06849070463704827,-0.05595745882666861,0.0_1.0_-1_false;
1.0008764401579493,6.31156434265538E-4,0.0_4.074467215878871E-5,7.065410017509059E-5,0.0_1836.15_1_false;-1.0008764401579493,6.311564342655377E-4,0.0_-4.074467215878874E-5,7.065410017509054E-5,0.0_1836.15_1_false;0.5456319594393855,0.5311021132233316,0.0_-0.061276966658790157,-0.06473152603649263,0.0_1.0_-1_false;-0.5456319594393853,0.5311021132233328,0.0_0.06127696665879021,-0.06473152603649249,0.0_1.0_-1_false;
1.0009132715925753,7.063699903289877E-4,0.0_3.6831434625851056E-5,7.521355606344965E-5,0.0_1836.15_1_false;-1.0009132715925753,7.063699903289873E-4,0.0_-3.68314346258511E-5,7.52135560634496E-5,0.0_1836.15_1_false;0.4934481445919198,0.4579987422574284,0.0_-0.05218381484746563,-0.07310337096590312,0.0_1.0_-1_false;-0.49344814459191955,0.4579987422574298,0.0_0.05218381484746572,-0.07310337096590296,0.0_1.0_-1_false;
1.000945381262401,7.858163058874386E-4,0.0_3.2109669825595374E-5,7.94463155584509E-5,0.0_1836.15_1_false;-1.000945381262401,7.858163058874382E-4,0.0_-3.210966982559543E-5,7.944631555845084E-5,0.0_1836.15_1_false;0.4524001852642373,0.37712338994477873,0.0_-0.04104795932768254,-0.08087535231264968,0.0_1.0_-1_false;-0.45240018526423686,0.37712338994478034,0.0_0.04104795932768267,-0.08087535231264946,0.0_1.0_-1_false;
1.0009719267155088,8.690466394651935E-4,0.0_2.6545453107941637E-5,8.323033357775499E-5,0.0_1836.15_1_false;-1.0009719267155088,8.690466394651931E-4,0.0_-2.6545453107941715E-5,8.323033357775492E-5,0.0_1836.15_1_false;0.42462891705360234,0.28930001294598384,0.0_-0.02777126821063495,-0.0878233769987949,0.0_1.0_-1_false;-0.42462891705360173,0.2893000129459857,0.0_0.027771268210635115,-0.08782337699879465,0.0_1.0_-1_false;
1.0009920272599322,9.554662340488151E-4,0.0_2.010054442344329E-5,8.641959458362161E-5,0.0_1836.15_1_false;-1.0009920272599322,9.554662340488146E-4,0.0_-2.0100544423443397E-5,8.641959458362154E-5,0.0_1836.15_1_false;0.4122384850734247,0.19562067435126695,0.0_-0.012390431980177627,-0.0936793385947169,0.0_1.0_-1_false;-0.41223848507342387,0.19562067435126904,0.0_0.012390431980177849,-0.09367933859471664,0.0_1.0_-1_false;
1.0010047579967412,0.001044291534018604,0.0_1.273073680904609E-5,8.88252999697889E-5,0.0_1836.15_1_false;-1.0010047579967412,0.0010442915340186034,0.0_-1.2730736809046235E-5,8.882529996978883E-5,0.0_1836.15_1_false;0.41711539703725037,0.09752409981173898,0.0_0.00487691196382569,-0.09809657453952797,0.0_1.0_-1_false;-0.41711539703724926,0.09752409981174134,0.0_-0.004876911963825403,-0.09809657453952769,0.0_1.0_-1_false;
1.0010091524183253,0.0011344758505345256,0.0_4.3944215842740365E-6,9.018431651592159E-5,0.0_1836.15_1_false;-1.0010091524183253,0.001134475850534525,0.0_-4.394421584274225E-6,9.018431651592155E-5,0.0_1836.15_1_false;0.4407928773298773,-0.003067832958970562,0.0_0.023677480292626927,-0.10059193277070955,0.0_1.0_-1_false;-0.4407928773298758,-0.0030678329589679254,0.0_-0.02367748029262656,-0.10059193277070927,0.0_1.0_-1_false;
1.0010042404351591,0.0012245912693582036,0.0_-4.9119831662926896E-6,9.01154188236779E-5,0.0_1836.15_1_false;-1.0010042404351591,0.001224591269358203,0.0_4.911983166292459E-6,9.01154188236779E-5,0.0_1836.15_1_false;0.4844287761415199,-0.10353325923206688,0.0_0.04363589881164261,-0.10046542627309632,0.0_1.0_-1_false;-0.48442877614151797,-0.10353325923206401,0.0_-0.04363589881164215,-0.10046542627309608,0.0_1.0_-1_false;
1.000989176950846,0.0013126722821287327,0.0_-1.5063484312963287E-5,8.808101277052896E-5,0.0_1836.15_1_false;-1.000989176950846,0.001312672282128732,0.0_1.506348431296302E-5,8.808101277052903E-5,0.0_1836.15_1_false;0.5487800080167891,-0.20026321083067378,0.0_0.06435123187526912,-0.09672995159860691,0.0_1.0_-1_false;-0.5487800080167866,-0.20026321083067078,0.0_-0.06435123187526859,-0.09672995159860677,0.0_1.0_-1_false;
1.000963540768824,0.0013960865967772846,0.0_-2.5636182022179694E-5,8.341431464855206E-5,0.0_1836.15_1_false;-1.000963540768824,0.0013960865967772842,0.0_2.5636182022179416E-5,8.341431464855222E-5,0.0_1836.15_1_false;0.6338823496340141,-0.28842440467261277,0.0_0.08510234161722512,-0.08816119384193902,0.0_1.0_-1_false;-0.6338823496340111,-0.28842440467260977,0.0_-0.08510234161722458,-0.08816119384193902,0.0_1.0_-1_false;
1.000927840880921,0.0014716143871649945,0.0_-3.569988790294414E-5,7.552779038770981E-5,0.0_1836.15_1_false;-1.000927840880921,0.0014716143871649943,0.0_3.56998879029439E-5,7.552779038771007E-5,0.0_1836.15_1_false;0.7382498954268428,-0.3621047569930063,0.0_0.10436754579282868,-0.07368035232039354,0.0_1.0_-1_false;-0.7382498954268394,-0.3621047569930035,0.0_-0.10436754579282821,-0.0736803523203937,0.0_1.0_-1_false;
1.0008840496331695,0.0015359944221213615,0.0_-4.3791247751478825E-5,6.438003495636695E-5,0.0_1836.15_1_false;-1.0008840496331695,0.0015359944221213615,0.0_4.3791247751478703E-5,6.438003495636726E-5,0.0_1836.15_1_false;0.8579149887487125,-0.41531615817813966,0.0_0.11966509332186973,-0.053211401185133324,0.0_1.0_-1_false;-0.8579149887487089,-0.41531615817813705,0.0_-0.11966509332186946,-0.05321140118513359,0.0_1.0_-1_false;
1.0008356568101628,0.0015869469913239497,0.0_-4.8392823006545835E-5,5.095256920258827E-5,0.0_1836.15_1_false;-1.0008356568101628,0.0015869469913239501,0.0_4.839282300654587E-5,5.095256920258855E-5,0.0_1836.15_1_false;0.9862865137293579,-0.44387271811947226,0.0_0.12837152498064539,-0.02855655994133261,0.0_1.0_-1_false;-0.9862865137293543,-0.4438727181194699,0.0_-0.12837152498064539,-0.028556559941332806,0.0_1.0_-1_false;
1.0007868554123438,0.0016240549820644241,0.0_-4.880139781893602E-5,3.710799074047443E-5,0.0_1836.15_1_false;-1.0007868554123438,0.0016240549820644248,0.0_4.880139781893617E-5,3.710799074047457E-5,0.0_1836.15_1_false;1.1155882258819676,-0.44700855531759454,0.0_0.12930171215260958,-0.0031358371981222836,0.0_1.0_-1_false;-1.115588225881964,-0.4470085553175921,0.0_-0.12930171215260977,-0.0031358371981222207,0.0_1.0_-1_false;
1.000741312426361,0.0016487407117238065,0.0_-4.5542985982802435E-5,2.468572965938247E-5,0.0_1836.15_1_false;-1.000741312426361,0.0016487407117238072,0.0_4.554298598280261E-5,2.468572965938242E-5,0.0_1836.15_1_false;1.2390692673162584,-0.4273352578316698,0.0_0.12348104143429087,0.01967329748592472,0.0_1.0_-1_false;-1.239069267316255,-0.427335257831667,0.0_-0.1234810414342911,0.019673297485925136,0.0_1.0_-1_false;
1.0007014262915608,0.001663443696254215,0.0_-3.988613480028097E-5,1.4702984530408444E-5,0.0_1836.15_1_false;-1.0007014262915608,0.0016634436962542154,0.0_3.9886134800281076E-5,1.470298453040821E-5,0.0_1836.15_1_false;1.352337343169021,-0.38933214287717943,0.0_0.11326807585276266,0.03800311495449038,0.0_1.0_-1_false;-1.352337343169018,-0.3893321428771759,0.0_-0.11326807585276277,0.03800311495449113,0.0_1.0_-1_false;
1.000668332798231,0.001670746203431892,0.0_-3.309349332966525E-5,7.302507177676988E-6,0.0_1836.15_1_false;-1.000668332798231,0.001670746203431892,0.0_3.309349332966524E-5,7.302507177676622E-6,0.0_1836.15_1_false;1.453331062556639,-0.3377406414314712,0.0_0.10099371938761785,0.051591501445708246,0.0_1.0_-1_false;-1.4533310625566358,-0.33774064143146665,0.0_-0.10099371938761774,0.05159150144570924,0.0_1.0_-1_false;
1.0006422857947774,0.0016728846075685637,0.0_-2.6047003453670394E-5,2.1384041366715623E-6,0.0_1836.15_1_false;-1.0006422857947774,0.0016728846075685633,0.0_2.6047003453670245E-5,2.1384041366711223E-6,0.0_1836.15_1_false;1.5416124954908978,-0.27666707218702086,0.0_0.08828143293425904,0.06107356924445036,0.0_1.0_-1_false;-1.5416124954908945,-0.27666707218701514,0.0_-0.08828143293425868,0.06107356924445148,0.0_1.0_-1_false;
1.000623046935236,0.0016716116518170191,0.0_-1.923885954142591E-5,-1.2729557515445107E-6,0.0_1836.15_1_false;-1.000623046935236,0.0016716116518170183,0.0_1.9238859541425622E-5,-1.2729557515449738E-6,0.0_1836.15_1_false;1.6176476737216785,-0.20932973448382255,0.0_0.07603517823078063,0.0673373377031983,0.0_1.0_-1_false;-1.6176476737216745,-0.20932973448381567,0.0_-0.07603517823078,0.06733733770319947,0.0_1.0_-1_false;
1.0006101537674936,0.0016682349717104508,0.0_-1.28931677424387E-5,-3.376680106568246E-6,0.0_1836.15_1_false;-1.0006101537674936,0.0016682349717104495,0.0_1.2893167742438283E-5,-3.376680106568699E-6,0.0_1836.15_1_false;1.6823127186757991,-0.1381296433061474,0.0_0.06466504495412057,0.07120009117767513,0.0_1.0_-1_false;-1.6823127186757942,-0.1381296433061394,0.0_-0.06466504495411972,0.07120009117767628,0.0_1.0_-1_false;
1.000603072308364,0.00166370901408059,0.0_-7.081459129504008E-6,-4.525957629860811E-6,0.0_1836.15_1_false;-1.000603072308364,0.0016637090140805882,0.0_7.0814591295034765E-6,-4.525957629861232E-6,0.0_1836.15_1_false;1.7366131180225897,-0.06481930620407864,0.0_0.05430039934679058,0.07331033710206877,0.0_1.0_-1_false;-1.7366131180225837,-0.06481930620406952,0.0_-0.05430039934678953,0.07331033710206987,0.0_1.0_-1_false;
1.0006012736035594,0.0016587256693399862,0.0_-1.7987048045871955E-6,-4.9833447406037976E-6,0.0_1836.15_1_false;-1.0006012736035594,0.001658725669339984,0.0_1.7987048045865664E-6,-4.983344740604171E-6,0.0_1836.15_1_false;1.7815430478840364,0.009330862241380869,0.0_0.04492992986144671,0.0741501684454595,0.0_1.0_-1_false;-1.781543047884029,0.009330862241391,0.0_-0.04492992986144548,0.07415016844546052,0.0_1.0_-1_false;
1.0006042674369562,0.0016537871538008062,0.0_2.9938333966634932E-6,-4.938515539180077E-6,0.0_1836.15_1_false;-1.0006042674369562,0.0016537871538008036,0.0_-2.9938333966642056E-6,-4.938515539180392E-6,0.0_1836.15_1_false;1.8180235743335948,0.08339871754864621,0.0_0.03648052644955843,0.07406785530726534,0.0_1.0_-1_false;-1.8180235743335862,0.08339871754865724,0.0_-0.03648052644955705,0.07406785530726624,0.0_1.0_-1_false;
1.0006116139323873,0.0016492600846762621,0.0_7.346495431143064E-6,-4.5270691245440565E-6,0.0_1836.15_1_false;-1.0006116139323873,0.0016492600846762593,0.0_-7.346495431143846E-6,-4.527069124544308E-6,0.0_1836.15_1_false;1.8468815216449117,0.1567110955216776,0.0_0.028857947311316866,0.07331237797303142,0.0_1.0_-1_false;-1.8468815216449015,0.15671109552168944,0.0_-0.028857947311315354,0.0733123779730322,0.0_1.0_-1_false;
1.0006229245437206,0.0016454142454994096,0.0_1.1310611333201516E-5,-3.845839176852579E-6,0.0_1836.15_1_false;-1.0006229245437206,0.0016454142454994066,0.0_-1.1310611333202356E-5,-3.8458391768527635E-6,0.0_1836.15_1_false;1.8688478433555216,0.22877263312625534,0.0_0.021966321710609908,0.07206153760457772,0.0_1.0_-1_false;-1.8688478433555098,0.22877263312626778,0.0_-0.02196632171060829,0.07206153760457835,0.0_1.0_-1_false;
1.000637858408422,0.0016424500218838926,0.0_1.493386470139997E-5,-2.9642236155170583E-6,0.0_1836.15_1_false;-1.000637858408422,0.0016424500218838894,0.0_-1.4933864701400861E-5,-2.964223615517174E-6,0.0_1836.15_1_false;1.8845645009022765,0.29921539231788685,0.0_0.015716657546754914,0.07044275919163151,0.0_1.0_-1_false;-1.884564500902263,0.2992153923178998,0.0_-0.015716657546753207,0.07044275919163201,0.0_1.0_-1_false;
1.0006561170331039,0.0016405177842971478,0.0_1.825862468204807E-5,-1.9322375867447237E-6,0.0_1836.15_1_false;-1.0006561170331039,0.0016405177842971446,0.0_-1.8258624682049002E-5,-1.93223758674477E-6,0.0_1836.15_1_false;1.8945943902361078,0.36776327036278805,0.0_0.010029889333831279,0.0685478780449012,0.0_1.0_-1_false;-1.8945943902360924,0.3677632703628013,0.0_-0.010029889333829495,0.06854787804490155,0.0_1.0_-1_false;
1.0006774387161812,0.001639731638318578,0.0_2.1321683077250018E-5,-7.861459785698237E-7,0.0_1836.15_1_false;-1.0006774387161812,0.0016397316383185748,0.0_-2.1321683077250983E-5,-7.861459785698E-7,0.0_1836.15_1_false;1.8994317342019402,0.4342067523013389,0.0_0.004837343965832415,0.06644348193855086,0.0_1.0_-1_false;-1.899431734201923,0.4342067523013524,0.0_-0.004837343965830571,0.06644348193855108,0.0_1.0_-1_false;
1.000701593323352,0.001640179250947214,0.0_2.4154607170759623E-5,4.476126286359221E-7,0.0_1836.15_1_false;-1.000701593323352,0.0016401792509472108,0.0_-2.415460717076062E-5,4.476126286360158E-7,0.0_1836.15_1_false;1.8995118109192992,0.49838486837326895,0.0_8.007671735893896E-5,0.06417811607193002,0.0_1.0_-1_false;-1.89951181091928,0.49838486837328255,0.0_-8.007671735704334E-5,0.06417811607193012,0.0_1.0_-1_false;
1.0007283776436953,0.0016419289365207017,0.0_2.6784320343308425E-5,1.749685573487551E-6,0.0_1836.15_1_false;-1.0007283776436955,0.0016419289365206984,0.0_-2.678432034330944E-5,1.7496855734877144E-6,0.0_1836.15_1_false;1.895219601888853,0.5601721832075096,0.0_-0.0042922090304462965,0.06178731483424071,0.0_1.0_-1_false;-1.8952196018888317,0.5601721832075233,0.0_0.004292209030448232,0.06178731483424067,0.0_1.0_-1_false;
1.0007576113705894,0.0016450348175299314,0.0_2.9233726894125233E-5,3.105881009229729E-6,0.0_1836.15_1_false;-1.0007576113705896,0.0016450348175299284,0.0_-2.9233726894126267E-5,3.105881009229963E-6,0.0_1836.15_1_false;1.886897281012103,0.6194693197924124,0.0_-0.008322320876750023,0.05929713658490271,0.0_1.0_-1_false;-1.8868972810120797,0.6194693197924258,0.0_0.008322320876751993,0.059297136584902536,0.0_1.0_-1_false;
1.0007891336704897,0.0016495406227504796,0.0_3.152229990033472E-5,4.505805220548046E-6,0.0_1836.15_1_false;-1.00078913367049,0.0016495406227504767,0.0_-3.152229990033577E-5,4.50580522054835E-6,0.0_1836.15_1_false;1.874850614767701,0.676195985536703,0.0_-0.012046666244401765,0.05672666574429059,0.0_1.0_-1_false;-1.8748506147676758,0.6761959855367161,0.0_0.012046666244403764,0.05672666574429027,0.0_1.0_-1_false;
1.0008228002717603,0.0016554825127824166,0.0_3.366660127057508E-5,5.941890031936918E-6,0.0_1836.15_1_false;-1.0008228002717605,0.001655482512782414,0.0_-3.366660127057615E-5,5.94189003193729E-6,0.0_1836.15_1_false;1.8593544003060565,0.7302857841545619,0.0_-0.015496214461644639,0.05408979861785892,0.0_1.0_-1_false;-1.8593544003060292,0.7302857841545746,0.0_0.015496214461646658,0.05408979861785846,0.0_1.0_-1_false;
