Simulation_ID-0_NAME-TEST
Particle Count: 4
-6.0,0.0,0.0_0.0,0.0,0.01_1836.15_1;6.0,0.0,0.0_0.0,0.0,0.01_1836.15_1;-11.0,0.0,0.0_0.0,0.0,0.0_1.0_-1;11.0,0.0,0.0_0.0,0.0,0.0_1.0_-1;
-6.000142905119264,0.0,0.33999696028904136_-8.277088092500034E-6,0.0,0.009999733210244895_1836.15_1;6.000142905119264,0.0,0.33999696028904136_8.277088092500034E-6,0.0,0.009999733210244895_1836.15_1;-10.74993689205291,0.0,0.005581365276988113_0.014498958613296966,0.0,4.898660088451845E-4_1.0_-1;10.74993689205291,0.0,0.005581365276988113_-0.014498958613296965,0.0,4.898660088451844E-4_1.0_-1;
-6.000151440245268,0.0,0.34999667624127995_-8.535126003262842E-6,0.0,0.009999715952238598_1836.15_1;6.000151440245268,0.0,0.34999667624127995_8.535126003262842E-6,0.0,0.009999715952238598_1836.15_1;-10.734983969750706,0.0,0.00610291957409629_0.014952922302203523,0.0,5.215542971081774E-4_1.0_-1;10.734983969750706,0.0,0.00610291957409629_-0.014952922302203521,0.0,5.215542971081773E-4_1.0_-1;
-6.000160234777358,0.0,0.3599963742886571_-8.794532090524567E-6,0.0,0.009999698047377147_1836.15_1;6.000160234777358,0.0,0.3599963742886571_8.794532090524567E-6,0.0,0.009999698047377147_1836.15_1;-10.719574506932448,0.0,0.006657349882557835_0.015409462818258373,0.0,5.544303084615453E-4_1.0_-1;10.719574506932448,0.0,0.006657349882557835_-0.015409462818258371,0.0,5.544303084615452E-4_1.0_-1;
-6.000169290138235,0.0,0.3699960537703699_-9.055360877578399E-6,0.0,0.009999679481712799_1836.15_1;6.000169290138235,0.0,0.3699960537703699_9.055360877578399E-6,0.0,0.009999679481712799_1836.15_1;-10.703705824594591,0.0,0.0072458695356120584_0.015868682337856117,0.0,5.885196530542232E-4_1.0_-1;10.703705824594591,0.0,0.0072458695356120584_-0.015868682337856117,0.0,5.885196530542231E-4_1.0_-1;
-6.000178607806691,0.0,0.37999571401096566_-9.317668456563738E-6,0.0,0.009999660240595707_1836.15_1;6.000178607806691,0.0,0.37999571401096566_9.317668456563738E-6,0.0,0.009999660240595707_1836.15_1;-10.687375138656927,0.0,0.00786971876581376_0.01633068593766436,0.0,6.238492302017014E-4_1.0_-1;10.687375138656927,0.0,0.00786971876581376_-0.01633068593766436,0.0,6.238492302017013E-4_1.0_-1;
-6.000188189319266,0.0,0.3899953543196055_-9.58151257445561E-6,0.0,0.009999640308639857_1836.15_1;6.000188189319266,0.0,0.3899953543196055_9.58151257445561E-6,0.0,0.009999640308639857_1836.15_1;-10.67057955690368,0.0,0.008530166056748846_0.016795581753245935,0.0,6.604472909350871E-4_1.0_-1;10.67057955690368,0.0,0.008530166056748846_-0.016795581753245935,0.0,6.60447290935087E-4_1.0_-1;
-6.00019803627199,0.0,0.3999949739892922_-9.846952723880563E-6,0.0,0.009999619669686646_1836.15_1;6.00019803627199,0.0,0.3999949739892922_9.846952723880563E-6,0.0,0.009999619669686646_1836.15_1;-10.65331607575712,0.0,0.009228509561625015_0.0172634811465608,0.0,6.983435048761685E-4_1.0_-1;10.65331607575712,0.0,0.009228509561625013_-0.0172634811465608,0.0,6.983435048761684E-4_1.0_-1;
-6.000208150322229,0.0,0.4099945722960581_-1.0114050239120742E-5,0.0,0.00999959830676592_1836.15_1;6.000208150322229,0.0,0.4099945722960581_1.0114050239120742E-5,0.0,0.00999959830676592_1836.15_1;-10.635581576874108,0.0,0.009966078593392122_0.017734498883012543,0.0,7.375690317671069E-4_1.0_-1;10.635581576874108,0.0,0.00996607859339212_-0.017734498883012543,0.0,7.375690317671068E-4_1.0_-1;
-6.000218533190627,0.0,0.4199941484981124_-1.0382868397697962E-5,0.0,0.009999576202054297_1836.15_1;6.000218533190627,0.0,0.4199941484981124_1.0382868397697962E-5,0.0,0.009999576202054297_1836.15_1;-10.617372823555348,0.0,0.01074423519140573_0.01820875331875977,0.0,7.781565980136077E-4_1.0_-1;10.617372823555348,0.0,0.010744235191405728_-0.01820875331875977,0.0,7.781565980136076E-4_1.0_-1;
-6.000229186663155,0.0,0.4299937018349429_-1.0653472527962708E-5,0.0,0.00999955333683053_1836.15_1;6.000229186663155,0.0,0.4299937018349429_1.0653472527962708E-5,0.0,0.00999955333683053_1836.15_1;-10.598686456956274,0.0,0.011564375770039487_0.018686366599073436,0.0,8.201405786337575E-4_1.0_-1;10.598686456956274,0.0,0.011564375770039485_-0.018686366599073436,0.0,8.201405786337574E-4_1.0_-1;
-6.0002401125932785,0.0,0.4399932315263706_-1.0925930123149406E-5,0.0,0.0099995296914277_1836.15_1;6.0002401125932785,0.0,0.4399932315263706_1.0925930123149406E-5,0.0,0.0099995296914277_1836.15_1;-10.579518992087687,0.0,0.01242793285508102_0.019167464868588113,0.0,8.635570850415334E-4_1.0_-1;10.579518992087687,0.0,0.012427932855081019_-0.019167464868588113,0.0,8.635570850415333E-4_1.0_-1;
-6.000251312904241,0.0,0.44999273677155255_-1.120031096239935E-5,0.0,0.009999505245181972_1836.15_1;6.000251312904241,0.0,0.44999273677155255_1.120031096239935E-5,0.0,0.009999505245181972_1836.15_1;-10.559866813593318,0.0,0.013336376914215717_0.01965217849436872,0.0,9.084440591346974E-4_1.0_-1;10.559866813593318,0.0,0.013336376914215716_-0.01965217849436872,0.0,9.084440591346971E-4_1.0_-1;
-6.00026278959148,0.0,0.45999221674793017_-1.147668723929683E-5,0.0,0.009999479976377644_1836.15_1;6.00026278959148,0.0,0.45999221674793017_1.147668723929683E-5,0.0,0.009999479976377644_1836.15_1;-10.539726171290523,0.0,0.01429121828841757_0.02014064230279537,0.0,9.548413742018534E-4_1.0_-1;10.539726171290523,0.0,0.014291218288417569_-0.02014064230279537,0.0,9.548413742018532E-4_1.0_-1;
-6.000274544725179,0.0,0.4699916706101183_-1.1755133698512687E-5,0.0,0.009999453862188165_1836.15_1;6.000274544725179,0.0,0.4699916706101183_1.1755133698512687E-5,0.0,0.009999453862188165_1836.15_1;-10.519093175459165,0.0,0.015294009231630979_0.020632995831358452,0.0,0.0010027909432134081_1.0_-1;10.519093175459165,0.0,0.015294009231630977_-0.020632995831358452,0.0,0.0010027909432134081_1.0_-1;
-6.00028658045296,0.0,0.47999109748873114_-1.2035727781203306E-5,0.0,0.009999426878612803_1836.15_1;6.00028658045296,0.0,0.47999109748873114_1.2035727781203306E-5,0.0,0.009999426878612803_1836.15_1;-10.49796379186261,0.0,0.016346346066747595_0.02112938359655478,0.0,0.0010523368351166153_1.0_-1;10.49796379186261,0.0,0.01634634606674759_-0.02112938359655478,0.0,0.0010523368351166153_1.0_-1;
-6.000298899002741,0.0,0.4899904964891397_-1.2318549779872492E-5,0.0,0.00999939900040857_1836.15_1;6.000298899002741,0.0,0.4899904964891397_1.2318549779872492E-5,0.0,0.00999939900040857_1836.15_1;-10.476333836483425,0.0,0.01744987146656411_0.021629955379184825,0.0,0.001103525399816514_1.0_-1;10.476333836483425,0.0,0.017449871466564106_-0.021629955379184825,0.0,0.001103525399816514_1.0_-1;
-6.000311502685744,0.0,0.49998986669015677_-1.2603683003469414E-5,0.0,0.00999937020101703_1836.15_1;6.000311502685744,0.0,0.49998986669015677_1.2603683003469414E-5,0.0,0.00999937020101703_1836.15_1;-10.454198969954954,0.0,0.018606276869157258_0.022134866528471978,0.0,0.001156405402593148_1.0_-1;10.454198969954954,0.0,0.018606276869157255_-0.022134866528471978,0.0,0.001156405402593148_1.0_-1;
-6.000324393899697,0.0,0.5099892071426423_-1.2891213953568801E-5,0.0,0.009999340452485489_1836.15_1;6.000324393899697,0.0,0.5099892071426423_1.2891213953568801E-5,0.0,0.009999340452485489_1836.15_1;-10.431554691668396,0.0,0.01981730503793913_0.022644278286558538,0.0,0.0012110281687818748_1.0_-1;10.431554691668396,0.0,0.019817305037939128_-0.022644278286558538,0.0,0.0012110281687818748_1.0_-1;
-6.0003375751322094,0.0,0.5199885168680244_-1.3181232512560342E-5,0.0,0.009999309725382122_1836.15_1;6.0003375751322094,0.0,0.5199885168680244_1.3181232512560342E-5,0.0,0.009999309725382122_1836.15_1;-10.408396333533315,0.0,0.021084752777567998_0.023158358135081786,0.0,0.001267447739628867_1.0_-1;10.408396333533315,0.0,0.021084752777567994_-0.023158358135081786,0.0,0.001267447739628867_1.0_-1;
-6.000351048964355,0.0,0.5299877948567289_-1.3473832144864186E-5,0.0,0.009999277988704454_1836.15_1;6.000351048964355,0.0,0.5299877948567289_1.3473832144864186E-5,0.0,0.009999277988704454_1836.15_1;-10.384719053367617,0.0,0.0224104738178972_0.02367728016569854,0.0,0.0013257210403292054_1.0_-1;10.384719053367617,0.0,0.0224104738178972_-0.02367728016569854,0.0,0.0013257210403292054_1.0_-1;
-6.000364818074467,0.0,0.5399870400665094_-1.3769110112289337E-5,0.0,0.009999245209780601_1836.15_1;6.000364818074467,0.0,0.5399870400665094_1.3769110112289337E-5,0.0,0.009999245209780601_1836.15_1;-10.360517827891007,0.0,0.02379638187925885_0.02420122547661007,0.0,0.0013859080613616507_1.0_-1;10.360517827891007,0.0,0.02379638187925885_-0.02420122547661007,0.0,0.0013859080613616507_1.0_-1;
-6.000378885242172,0.0,0.549986251420672_-1.406716770476311E-5,0.0,0.009999211354162601_1836.15_1;6.000378885242172,0.0,0.549986251420672_1.406716770476311E-5,0.0,0.009999211354162601_1836.15_1;-10.335787445293663,0.0,0.025244453933612576_0.024730382597343895,0.0,0.0014480720543537243_1.0_-1;10.335787445293663,0.0,0.025244453933612576_-0.024730382597343895,0.0,0.0014480720543537243_1.0_-1;
-6.00039325335266,0.0,0.5599854278061831_-1.4368110487784004E-5,0.0,0.00999917638551108_1836.15_1;6.00039325335266,0.0,0.5599854278061831_1.4368110487784004E-5,0.0,0.00999917638551108_1836.15_1;-10.310522497349385,0.0,0.026756733677457536_0.025264947944276948,0.0,0.0015122797438449607_1.0_-1;10.310522497349385,0.0,0.026756733677457536_-0.025264947944276948,0.0,0.0015122797438449607_1.0_-1;
-6.000407925401228,0.0,0.5699845680716535_-1.4672048568089106E-5,0.0,0.00999914026547044_1836.15_1;6.000407925401228,0.0,0.5699845680716535_1.4672048568089106E-5,0.0,0.00999914026547044_1836.15_1;-10.284717371039745,0.0,0.028335335233924626_0.02580512630963951,0.0,0.0015786015564670894_1.0_-1;10.284717371039745,0.0,0.028335335233924626_-0.02580512630963951,0.0,0.0015786015564670894_1.0_-1;
-6.000422904498107,0.0,0.5799836710251872_-1.4979096879182321E-5,0.0,0.009999102953533635_1836.15_1;6.000422904498107,0.0,0.5799836710251872_1.4979096879182321E-5,0.0,0.009999102953533635_1836.15_1;-10.258366239652721,0.0,0.02998244710315448_0.02635113138702431,0.0,0.0016471118692298532_1.0_-1;10.258366239652721,0.0,0.02998244710315448_-0.02635113138702431,0.0,0.0016471118692298532_1.0_-1;
-6.000438193873595,0.0,0.5899827354320828_-1.528937548854369E-5,0.0,0.009999064406895526_1836.15_1;6.000438193873595,0.0,0.5899827354320828_1.528937548854369E-5,0.0,0.009999064406895526_1836.15_1;-10.231463053315977,0.0,0.031700336381947344_0.026903186336744617,0.0,0.001717889278792863_1.0_-1;10.231463053315977,0.0,0.031700336381947344_-0.026903186336744617,0.0,0.001717889278792863_1.0_-1;
-6.000453796883524,0.0,0.5999817600123765_-1.5603009928535207E-5,0.0,0.009999024580293654_1836.15_1;6.000453796883524,0.0,0.5999817600123765_1.5603009928535207E-5,0.0,0.009999024580293654_1836.15_1;-10.204001528921234,0.0,0.03349135327576785_0.02746152439474361,0.0,0.0017910168938205042_1.0_-1;10.204001528921234,0.0,0.03349135327576785_-0.02746152439474361,0.0,0.0017910168938205042_1.0_-1;
-6.000469717015077,0.0,0.6099807434382116_-1.592013155323793E-5,0.0,0.009998983425835172_1836.15_1;6.000469717015077,0.0,0.6099807434382116_1.592013155323793E-5,0.0,0.009998983425835172_1836.15_1;-10.175975139392074,0.0,0.035357935928529934_0.028026389529160117,0.0,0.001866582652762087_1.0_-1;10.175975139392074,0.0,0.035357935928529934_-0.028026389529160117,0.0,0.001866582652762087_1.0_-1;
-6.000485957893001,0.0,0.6199796843310201_-1.6240877923702205E-5,0.0,0.009998940892808504_1836.15_1;6.000485957893001,0.0,0.6199796843310201_1.6240877923702205E-5,0.0,0.009998940892808504_1836.15_1;-10.147377102242965,0.0,0.03730261559820739_0.028598037149109492,0.0,0.0019446796696774569_1.0_-1;10.147377102242965,0.0,0.03730261559820739_-0.028598037149109492,0.0,0.0019446796696774569_1.0_-1;
